Type,Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Agriculture, Forestry, Fishing and Hunting",11,4166988041,4528838384,4601179314,5717841430,7454540213,4669747856,6472602717,6808102854,7983857967,8840130551
"Mining, Quarrying, and Oil and Gas Extraction",21,3033373744,1672301411,1685950179,2017385583,2444134154,2881373385,3938235279,6504786184,5769577901,5978815971
Construction,23,16016682,8475622,8134437,5857869,4520001,5320981,6400879,3504099,3973288,3313069
Manufacturing,31,8361361935,7514947608,7035088156,7735646476,8420322589,7118491997,6237838618,6716869799,6263449292,5617357291
Retail Trade,44,281761570,382675342,258698374,436105799,789271554,474186486,146628558,278935455,200364044,477226764
Transportation and Warehousing,48,906202718,972405990,1508883187,1522090824,1408735125,1430699958,1064036062,904926575,802200068,678760087
Information and Cultural Industries,51,650379140,621508254,662718231,675968425,764739803,802166403,724354211,809726073,809154099,770957286
Health Care and Social Assistance,62,14619094,9649065,7930237,15859741,29385419,88632294,207892731,335518626,203949836,195439377
"Arts, Entertainment, and Recreation",71,5599718,4463586,4686647,3456307,4878406,4360110,3887221,4742962,6069079,4289996
