Type,Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Pharmaceutical products,62,104182165 ,109414811 ,105926370 ,119500758 ,125837755 ,129788969 ,143863202 ,169345724 ,287022298 ,128922281 
"Mineral fuels, oils, distillation products",21,109508723 ,46991121 ,144841303 ,35814449 ,48354578 ,88781669 ,64181481 ,98193365 ,53494693 ,125297956 
Copper,31,90864808 ,82778018 ,75408809 ,80708492 ,100120844 ,87768773 ,81272614 ,119054884 ,156477872 ,124448625 
Manmade filaments,31,81724012 ,104267880 ,87922332 ,99635616 ,121017470 ,114072186 ,116156970 ,119134224 ,123478874 ,114477846 
"Soaps, lubricants, waxes, candles, modelling pastes",31,60438018 ,53743812 ,56463639 ,61592184 ,67821516 ,72653007 ,108664994 ,94389986 ,111131600 ,112583062 
"Oil seed, oleagic fruits, grain, seed, fruits",11,74501189 ,87311161 ,82749194 ,83735047 ,85872496 ,84486123 ,89740310 ,108936149 ,110404956 ,99797036 
"Tanning, dyeing extracts, tannins, derivatives, pigments",31,59048799 ,58217646 ,62092897 ,69782316 ,69904339 ,84287463 ,124679351 ,105270132 ,153473846 ,98982589 
"Wadding, felt, nonwovens, yarns, twine, cordage",31,54070345 ,61203900 ,63561053 ,81042207 ,97066004 ,95327309 ,128802103 ,155187016 ,113030836 ,98407305 
"Bird skin, feathers, artificial flowers, human hair",31,68699230 ,71049564 ,70304840 ,70727713 ,79159066 ,87363988 ,72296762 ,92148085 ,120686999 ,96603591 
Miscellaneous edible preparations,31,34211856 ,34948484 ,41922680 ,56136504 ,75160335 ,66340027 ,77941471 ,85458341 ,102388213 ,92744541 
"Edible fruits, nuts, peel of citrus fruit, melons",11,77759903 ,78839828 ,77673720 ,75744606 ,81581276 ,73046217 ,81587620 ,83367740 ,90492831 ,89516166 
"Impregnated, coated or laminated textile fabric",31,41781842 ,47667084 ,51596084 ,63230692 ,66896781 ,67987811 ,60828216 ,74188839 ,83037246 ,78758760 
"Albuminoids, modified starches, glues, enzymes",31,23184536 ,24864331 ,25933190 ,30753537 ,36601591 ,42605543 ,48506656 ,63925855 ,79146547 ,75020892 
 Carpets and other textile floor coverings,31,70296273 ,60669518 ,61778381 ,70166517 ,80665634 ,71291835 ,65561740 ,89666685 ,86449284 ,71185414 
"Meat, fish and seafood preparations",31,60225997 ,46107855 ,55625706 ,56519714 ,68166446 ,77809255 ,62301880 ,74762050 ,86578810 ,69942654 
Sugars and sugar confectionery,31,29317055 ,29493643 ,27715952 ,32566897 ,33121926 ,36547702 ,39715842 ,50361995 ,61728652 ,69732186 
"Coffee, tea, mate and spices",44,64514371 ,53971827 ,50701939 ,56838688 ,57024544 ,55188983 ,54802010 ,60348639 ,55331174 ,68344222 
Clocks and watches,44,124436248 ,143576840 ,120505004 ,111695011 ,99480563 ,84973938 ,65612412 ,77123613 ,79967848 ,64236117 
"Umbrellas, walking-sticks, seat-sticks, whips",44,71182492 ,63933331 ,62822992 ,73822155 ,74458316 ,74360377 ,64566668 ,93169840 ,104190064 ,62169518 
Knitted or crocheted fabric,31,61510343 ,66308733 ,66355700 ,63222381 ,71387941 ,60763094 ,58178619 ,68567460 ,71398984 ,57662782 
"Musical instruments, parts and accessories",71,68015429 ,59715051 ,56515493 ,59945034 ,60763063 ,62482082 ,59698734 ,69932582 ,73215217 ,51313090 
"Residues, wastes of food industry, animal fodder",11,33246088 ,30790286 ,29756120 ,32837034 ,36271001 ,44117055 ,46940494 ,47115965 ,56360260 ,48715932 
"Ships, boats, and other floating structures",48,13059891 ,118421495 ,29112922 ,161588210 ,118405498 ,119752421 ,38406007 ,102162733 ,104826687 ,44711410 
"Lac, gums, resins",31,26921884 ,31376303 ,24995331 ,28274508 ,33135058 ,31151761 ,42420083 ,35181803 ,44881036 ,39043708 
"Special woven or tufted fabric, lace, tapestry",31,34190959 ,37354335 ,35092048 ,36419771 ,36019832 ,34151801 ,31139174 ,38873088 ,42787907 ,38879847 
Manmade staple fibers,31,39866382 ,43144954 ,35594088 ,32253264 ,37779513 ,37201213 ,35280315 ,35185762 ,38698692 ,38661287 
"Salt, sulphur, earth, stone, plaster, lime and cement",31,84291434 ,53307470 ,38455800 ,44128481 ,51183896 ,34300296 ,23337945 ,32611261 ,37727218 ,38196255 
"Animal, vegetable fats and oils, cleavage products",31,13468102 ,24713064 ,20482153 ,14555369 ,14662141 ,16767556 ,14337879 ,15456076 ,20578287 ,27560975 
