Type,Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
other-base-metals-cermets,31,18592044 ,16715176 ,18306813 ,15233972 ,14382817 ,44111802 ,63689474 ,93070574 ,88745183 ,79190391 
plastics,31,339340250 ,299109697 ,269537732 ,179346470 ,220720846 ,249939827 ,350429234 ,253405055 ,280459222 ,308191999 
miscellaneous-chemical-products,31,55149927 ,66341894 ,66235587 ,38400389 ,44859750 ,46984563 ,73202039 ,66246186 ,59374041 ,50857773 
tin,31,659 ,162 ,39244 ,29705 ,31322 ,49665 ,46523 ,83713 ,335441 ,81398 
albuminoids-modified-starches-glues-enzymes,31,2065039 ,1633005 ,1965690 ,4607646 ,6258878 ,5263859 ,13052319 ,9444279 ,6783755 ,5229947 
bird-skin-feathers-artificial-flowers-human-hair,31,30337 ,167528 ,210570 ,343869 ,24306 ,129530 ,37914 ,9252 ,9900 ,213381 
photographic-cinematographic-goods,51,6619315 ,90906 ,16212 ,2200 ,,27201 ,51240 ,3355 ,29980 ,22194 
furskins-artificial-fur-manufactures-thereof,44,165002416 ,219184808 ,135355027 ,86098117 ,100196315 ,58451142 ,4339515 ,1343165 ,211531 ,277566 
pulp-wood-fibrous-cellulosic-material-waste,31,2573205795 ,2628699774 ,2413486957 ,2807564999 ,3186089365 ,2656431237 ,2216182139 ,2469773702 ,2335018670 ,2300148454 
optical-photo-technical-medical-apparatus,51,294132327 ,307501198 ,355284859 ,329716703 ,400513566 ,471354144 ,433668982 ,487263607 ,464637810 ,438030158 
lac-gums-resins,31,888605 ,783611 ,16061112 ,1872359 ,2887606 ,2294594 ,2803328 ,2489079 ,3318711 ,1182472 
wool-animal-hair-horsehair-yarn,31,1945223 ,633054 ,237872 ,1068421 ,2177848 ,873418 ,26413 ,110673 ,141687 ,79113 
miscellaneous-articles-base-metal,31,5393187 ,4368881 ,4933674 ,4807033 ,5751470 ,5460287 ,8291217 ,9176058 ,9455834 ,7434942 
toys-games-sports-requisites,44,65686179 ,36490208 ,48965909 ,59343107 ,31426159 ,46164893 ,20901441 ,46762941 ,8485695 ,12223944 
ships-boats-floating-structures,48,268351 ,4712005 ,437414 ,87397 ,64230 ,103243 ,1597723 ,342595 ,161670 ,144470 
stone-plaster-cement-asbestos-mica-materials,23,16016682 ,8475622 ,8134437 ,5857869 ,4520001 ,5320981 ,6400879 ,3504099 ,3973288 ,3313069 
